ExperimentMode,Function,Algorithm,Run,RestartIndex,RestartIter,RestartRatio,RestartSigma,RestartInefficiencyScore
full,CEC2017-F1,PSO-RS,1,1,3392,0.1,4.345724287381231,
full,CEC2017-F1,PSO-RS,2,1,3732,0.1,3.778963160526754,
full,CEC2017-F1,PSO-RS,2,2,3812,0.1,3.645607601266878,
full,CEC2017-F1,PSO-RS,2,3,5201,0.1,1.3302217036172692,
full,CEC2017-F1,PSO-RS,2,4,5281,0.1,1.1968661443573927,
full,CEC2017-F1,PSO-RS,3,1,3811,0.1,3.647274545757626,
full,CEC2017-F1,PSO-RS,3,2,4327,0.1,2.787131188531422,
full,CEC2017-F1,PSO-RS,4,1,3299,0.1,4.500750125020837,
full,CEC2017-F1,PSO-RS,4,2,3379,0.1,4.367394565760961,
full,CEC2017-F1,PSO-RS,4,3,5016,0.1,1.638606434405734,
full,CEC2017-F1,PSO-RS,4,4,5254,0.1,1.2418736456076007,
full,CEC2017-F1,PSO-RS,4,5,5334,0.1,1.108518086347725,
full,CEC2017-F1,PSO-RS,4,6,5414,0.1,0.9751625270878485,
full,CEC2017-F1,PSO-RS,5,1,3388,0.1,4.352392065344224,
full,CEC2017-F1,PSO-RS,5,2,3816,0.1,3.638939823303884,
full,CEC2017-F1,PSO-RS,5,3,4921,0.1,1.7969661610268373,
full,CEC2017-F1,PSO-RS,5,4,5795,0.1,0.6,
full,CEC2017-F1,PSO-RS,6,1,3329,0.1,4.450741790298383,
full,CEC2017-F1,PSO-RS,6,2,3693,0.1,3.843973995665944,
full,CEC2017-F1,PSO-RS,6,3,4319,0.1,2.8004667444574096,
full,CEC2017-F1,PSO-RS,6,4,4399,0.1,2.6671111851975327,
full,CEC2017-F1,PSO-RS,6,5,5380,0.1,1.031838639773296,
full,CEC2017-F1,PSO-RS,7,1,3457,0.1,4.237372895482581,
full,CEC2017-F1,PSO-RS,7,2,4484,0.1,2.525420903483914,
full,CEC2017-F1,PSO-RS,7,3,4564,0.1,2.392065344224037,
full,CEC2017-F1,PSO-RS,7,4,4644,0.1,2.2587097849641604,
full,CEC2017-F1,PSO-RS,7,5,5373,0.1,1.0435072512085353,
full,CEC2017-F1,PSO-RS,8,1,3603,0.1,3.9939989998333054,
full,CEC2017-F1,PSO-RS,8,2,4222,0.1,2.96216036006001,
full,CEC2017-F1,PSO-RS,8,3,4704,0.1,2.1586931155192537,
full,CEC2017-F1,PSO-RS,9,1,4002,0.1,3.328888148024672,
full,CEC2017-F1,PSO-RS,9,2,5212,0.1,1.3118853142190368,
full,CEC2017-F1,PSO-RS,9,3,5982,0.1,0.6,
full,CEC2017-F1,PSO-RS,10,1,3550,0.1,4.082347057842975,
full,CEC2017-F1,PSO-RS,10,2,3630,0.1,3.948991498583098,
full,CEC2017-F1,PSO-RS,10,3,4637,0.1,2.2703783963993995,
full,CEC2017-F1,PSO-RS,10,4,4717,0.1,2.137022837139523,
full,CEC2017-F1,PSO-RS,10,5,5604,0.1,0.6584430738456415,
full,CEC2017-F1,PSO-RS,11,1,3999,0.1,3.3338889814969166,
full,CEC2017-F1,PSO-RS,11,2,4079,0.1,3.20053342223704,
full,CEC2017-F1,PSO-RS,11,3,4159,0.1,3.067177862977163,
full,CEC2017-F1,PSO-RS,11,4,4527,0.1,2.4537422903817308,
full,CEC2017-F1,PSO-RS,11,5,5168,0.1,1.385230871811969,
full,CEC2017-F1,PSO-RS,11,6,5476,0.1,0.8718119686614434,
full,CEC2017-F1,PSO-RS,11,7,5719,0.1,0.6,
full,CEC2017-F1,PSO-RS,11,8,5799,0.1,0.6,
full,CEC2017-F1,PSO-RS,12,1,3372,0.1,4.379063177196199,
full,CEC2017-F1,PSO-RS,12,2,5696,0.1,0.6,
full,CEC2017-F1,PSO-RS,13,1,3948,0.1,3.418903150525088,
full,CEC2017-F1,PSO-RS,13,2,4692,0.1,2.178696449408235,
