path,suffix,size_bytes,size_mb,parent,name
results\cec2017_ablation6\ablation6_restart_details.csv,.csv,1140956012,1088.1004447937012,results\cec2017_ablation6,ablation6_restart_details.csv
results\cec\cec2017_mean_curves.csv,.csv,66777887,63.68435573577881,results\cec,cec2017_mean_curves.csv
results\cec2017_ablation6\ablation6_curve_records.csv,.csv,19147415,18.260397911071777,results\cec2017_ablation6,ablation6_curve_records.csv
papers\2206.00835v1.pdf,.pdf,15419483,14.705164909362793,papers,2206.00835v1.pdf
results\cec\cec2017_full_parallel_checkpoint_restart_details.csv,.csv,10356274,9.87651252746582,results\cec,cec2017_full_parallel_checkpoint_restart_details.csv
results\cec\cec2017_restart_details.csv,.csv,10356274,9.87651252746582,results\cec,cec2017_restart_details.csv
papers\electronics-12-00491-v2.pdf,.pdf,3831633,3.654129981994629,papers,electronics-12-00491-v2.pdf
papers\electronics-11-02339-v2.pdf,.pdf,3004187,2.865015983581543,papers,electronics-11-02339-v2.pdf
papers\s40747-023-01012-8.pdf,.pdf,2893937,2.759873390197754,papers,s40747-023-01012-8.pdf
papers\s11831-021-09694-4.pdf,.pdf,2344358,2.2357540130615234,papers,s11831-021-09694-4.pdf
papers\2004.09969v2.pdf,.pdf,2224798,2.121732711791992,papers,2004.09969v2.pdf
papers\peerj-cs-2253.pdf,.pdf,2081978,1.9855289459228516,papers,peerj-cs-2253.pdf
papers\535-C037.pdf,.pdf,1366795,1.3034772872924805,papers,535-C037.pdf
papers\DefinitionsofCEC2014benchmarksuitePartA20140105.pdf,.pdf,871819,0.8314313888549805,papers,DefinitionsofCEC2014benchmarksuitePartA20140105.pdf
papers\_reading6 1995 particle swarming.pdf,.pdf,640718,0.6110363006591797,papers,_reading6 1995 particle swarming.pdf
results\cec2017_ablation6\ablation6_mean_curves.csv,.csv,615627,0.5871076583862305,results\cec2017_ablation6,ablation6_mean_curves.csv
results\cec\cec2017_raw_results.csv,.csv,602228,0.5743293762207031,results\cec,cec2017_raw_results.csv
results\cec\cec2017_full_parallel_checkpoint_raw_results.csv,.csv,600027,0.572230339050293,results\cec,cec2017_full_parallel_checkpoint_raw_results.csv
results\cec2017_ablation6\ablation6_raw_results.csv,.csv,542073,0.5169610977172852,results\cec2017_ablation6,ablation6_raw_results.csv
papers\PoliKennedyBlackwellSI2007.pdf,.pdf,472349,0.4504671096801758,papers,PoliKennedyBlackwellSI2007.pdf
papers\a20modified20pso.pdf,.pdf,457063,0.43588924407958984,papers,a20modified20pso.pdf
papers\ClercKennedyPSOExplosion-Stability.pdf,.pdf,429013,0.40913867950439453,papers,ClercKennedyPSOExplosion-Stability.pdf
论文\IEEEtran.cls,.cls,288304,0.2749481201171875,论文,IEEEtran.cls
arpso_real_data_updated_latex_pack\main_ei_arpso_srr_real_data.pdf,.pdf,284693,0.27150440216064453,arpso_real_data_updated_latex_pack,main_ei_arpso_srr_real_data.pdf
results\cec2017_ablation6\ablation6_errors.log,.log,278886,0.26596641540527344,results\cec2017_ablation6,ablation6_errors.log
论文\main.pdf,.pdf,267665,0.2552652359008789,论文,main.pdf
论文\main.synctex.gz,.gz,95321,0.09090518951416016,论文,main.synctex.gz
arpso_real_data_updated_latex_pack\main_ei_arpso_srr_real_data.synctex.gz,.gz,92358,0.08807945251464844,arpso_real_data_updated_latex_pack,main_ei_arpso_srr_real_data.synctex.gz
arpso_real_data_updated_latex_pack\algorithm_summary_tikz_final.pdf,.pdf,55756,0.053173065185546875,arpso_real_data_updated_latex_pack,algorithm_summary_tikz_final.pdf
paper_auto_update\figures\ablation6_average_rank.png,.png,53851,0.05135631561279297,paper_auto_update\figures,ablation6_average_rank.png
figures\restart_behavior_tikz_final.pdf,.pdf,53722,0.05123329162597656,figures,restart_behavior_tikz_final.pdf
arpso_real_data_updated_latex_pack\restart_behavior_tikz_final.pdf,.pdf,53722,0.05123329162597656,arpso_real_data_updated_latex_pack,restart_behavior_tikz_final.pdf
code\arpso_project_auditor.py,.py,42713,0.040734291076660156,code,arpso_project_auditor.py
英文.txt,.txt,39937,0.038086891174316406,.,英文.txt
论文\英文.txt,.txt,36134,0.03446006774902344,论文,英文.txt
论文\main.tex,.tex,33079,0.031546592712402344,论文,main.tex
arpso_real_data_updated_latex_pack\convergence_curve_tikz_final.pdf,.pdf,32306,0.030809402465820312,arpso_real_data_updated_latex_pack,convergence_curve_tikz_final.pdf
figures\convergence_curve_tikz_final.pdf,.pdf,32306,0.030809402465820312,figures,convergence_curve_tikz_final.pdf
arpso_real_data_updated_latex_pack\main_ei_arpso_srr_real_data.tex,.tex,31851,0.03037548065185547,arpso_real_data_updated_latex_pack,main_ei_arpso_srr_real_data.tex
中文.txt,.txt,31528,0.03006744384765625,.,中文.txt
results\cec\cec2017_summary_results.csv,.csv,31057,0.029618263244628906,results\cec,cec2017_summary_results.csv
code\运行CEC2017消融实验_6variants.py,.py,28662,0.027334213256835938,code,运行CEC2017消融实验_6variants.py
code\运行CEC实验_并行版.py,.py,27377,0.026108741760253906,code,运行CEC实验_并行版.py
arpso_real_data_updated_latex_pack\framework_tikz_final.pdf,.pdf,26003,0.02479839324951172,arpso_real_data_updated_latex_pack,framework_tikz_final.pdf
figures\framework_tikz_final.pdf,.pdf,26003,0.02479839324951172,figures,framework_tikz_final.pdf
code\auto_finalize_ablation6.py,.py,25761,0.024567604064941406,code,auto_finalize_ablation6.py
results\cec2017_ablation6\ablation6_summary_results.csv,.csv,23176,0.02210235595703125,results\cec2017_ablation6,ablation6_summary_results.csv
code\运行CEC实验.py,.py,22767,0.021712303161621094,code,运行CEC实验.py
results\cec\cec2017_wilcoxon_per_function_details.csv,.csv,22490,0.021448135375976562,results\cec,cec2017_wilcoxon_per_function_details.csv
figures\ablation_bar_tikz_final.pdf,.pdf,22179,0.02115154266357422,figures,ablation_bar_tikz_final.pdf
arpso_real_data_updated_latex_pack\ablation_bar_tikz_final.pdf,.pdf,22179,0.02115154266357422,arpso_real_data_updated_latex_pack,ablation_bar_tikz_final.pdf
arpso_real_data_updated_latex_pack\main_ei_arpso_srr_real_data.log,.log,19491,0.01858806610107422,arpso_real_data_updated_latex_pack,main_ei_arpso_srr_real_data.log
arpso_real_data_updated_latex_pack\algorithm_summary_tikz_final.log,.log,18313,0.017464637756347656,arpso_real_data_updated_latex_pack,algorithm_summary_tikz_final.log
论文\main.log,.log,18302,0.017454147338867188,论文,main.log
results\cec\cec2017_rank_detail.csv,.csv,15850,0.015115737915039062,results\cec,cec2017_rank_detail.csv
code\优化算法.py,.py,13837,0.013195991516113281,code,优化算法.py
code\cec_adapter.py,.py,13622,0.012990951538085938,code,cec_adapter.py
results\cec2017_ablation6\ablation6_wilcoxon_per_function_details.csv,.csv,12276,0.011707305908203125,results\cec2017_ablation6,ablation6_wilcoxon_per_function_details.csv
paper_auto_update\figures\ablation6_average_rank.pdf,.pdf,12264,0.01169586181640625,paper_auto_update\figures,ablation6_average_rank.pdf
code\生成论文图表.py,.py,12200,0.01163482666015625,code,生成论文图表.py
results\cec\cec2017_restart_summary.csv,.csv,10076,0.009609222412109375,results\cec,cec2017_restart_summary.csv
results\cec2017_ablation6\ablation6_rank_detail.csv,.csv,8658,0.008256912231445312,results\cec2017_ablation6,ablation6_rank_detail.csv
README.md,.md,8628,0.008228302001953125,.,README.md
code\统计检验_CEC.py,.py,8398,0.008008956909179688,code,统计检验_CEC.py
论文\main.aux,.aux,6658,0.0063495635986328125,论文,main.aux
arpso_real_data_updated_latex_pack\main_ei_arpso_srr_real_data.aux,.aux,6404,0.006107330322265625,arpso_real_data_updated_latex_pack,main_ei_arpso_srr_real_data.aux
code\统计检验.py,.py,4969,0.004738807678222656,code,统计检验.py
papers\说明.txt,.txt,4135,0.003943443298339844,papers,说明.txt
figures\流程图.txt,.txt,4116,0.003925323486328125,figures,流程图.txt
code\运行实验.py,.py,3585,0.0034189224243164062,code,运行实验.py
arpso_real_data_updated_latex_pack\framework_tikz_final.tex,.tex,3487,0.0033254623413085938,arpso_real_data_updated_latex_pack,framework_tikz_final.tex
code\权重敏感性分析.py,.py,3179,0.0030317306518554688,code,权重敏感性分析.py
paper_auto_update\reports\ablation6_rank_detail_recomputed.csv,.csv,3059,0.0029172897338867188,paper_auto_update\reports,ablation6_rank_detail_recomputed.csv
code\消融实验.py,.py,2942,0.0028057098388671875,code,消融实验.py
arpso_real_data_updated_latex_pack\algorithm_summary_tikz_final.tex,.tex,2646,0.0025234222412109375,arpso_real_data_updated_latex_pack,algorithm_summary_tikz_final.tex
arpso_real_data_updated_latex_pack\convergence_curve_tikz_final.tex,.tex,2133,0.0020341873168945312,arpso_real_data_updated_latex_pack,convergence_curve_tikz_final.tex
code\common.py,.py,2002,0.0019092559814453125,code,common.py
tables\main_results_table.tex,.tex,1925,0.0018358230590820312,tables,main_results_table.tex
code\benchmarks.py,.py,1579,0.0015058517456054688,code,benchmarks.py
paper_auto_update\reports\ablation6_status_report.txt,.txt,1386,0.0013217926025390625,paper_auto_update\reports,ablation6_status_report.txt
arpso_real_data_updated_latex_pack\algorithm_block_for_main.tex,.tex,1292,0.001232147216796875,arpso_real_data_updated_latex_pack,algorithm_block_for_main.tex
arpso_real_data_updated_latex_pack\restart_behavior_tikz_final.tex,.tex,982,0.0009365081787109375,arpso_real_data_updated_latex_pack,restart_behavior_tikz_final.tex
arpso_real_data_updated_latex_pack\ablation_bar_tikz_final.tex,.tex,918,0.0008754730224609375,arpso_real_data_updated_latex_pack,ablation_bar_tikz_final.tex
results\cec2017_ablation6\ablation6_group_average_rank.csv,.csv,866,0.0008258819580078125,results\cec2017_ablation6,ablation6_group_average_rank.csv
results\cec\cec2017_runtime_summary.csv,.csv,795,0.0007581710815429688,results\cec,cec2017_runtime_summary.csv
论文\README.md,.md,706,0.0006732940673828125,论文,README.md
paper_auto_update\reports\ablation6_final_summary.csv,.csv,681,0.0006494522094726562,paper_auto_update\reports,ablation6_final_summary.csv
paper_auto_update\reports\ablation6_table_values.csv,.csv,681,0.0006494522094726562,paper_auto_update\reports,ablation6_table_values.csv
paper_auto_update\snippets\ablation_discussion_auto.tex,.tex,593,0.0005655288696289062,paper_auto_update\snippets,ablation_discussion_auto.tex
results\cec2017_ablation6\ablation6_runtime_summary.csv,.csv,511,0.00048732757568359375,results\cec2017_ablation6,ablation6_runtime_summary.csv
paper_auto_update\tables\table_ablation6.tex,.tex,494,0.0004711151123046875,paper_auto_update\tables,table_ablation6.tex
results\cec2017_ablation6\ablation6_restart_summary.csv,.csv,470,0.0004482269287109375,results\cec2017_ablation6,ablation6_restart_summary.csv
paper_auto_update\snippets\restart_discussion_auto.tex,.tex,452,0.000431060791015625,paper_auto_update\snippets,restart_discussion_auto.tex
paper_tables\table_cec2017_wilcoxon_summary.tex,.tex,436,0.000415802001953125,paper_tables,table_cec2017_wilcoxon_summary.tex
tables\wilcoxon_summary_table.tex,.tex,427,0.00040721893310546875,tables,wilcoxon_summary_table.tex
paper_tables\table_cec2017_friedman.tex,.tex,320,0.00030517578125,paper_tables,table_cec2017_friedman.tex
tables\friedman_test_table.tex,.tex,288,0.000274658203125,tables,friedman_test_table.tex
results\cec\cec2017_average_rank.csv,.csv,258,0.0002460479736328125,results\cec,cec2017_average_rank.csv
results\cec\cec2017_friedman_average_rank.csv,.csv,258,0.0002460479736328125,results\cec,cec2017_friedman_average_rank.csv
arpso_real_data_updated_latex_pack\cec2017_wilcoxon_summary_ARPSO_SRR_from_raw.csv,.csv,237,0.00022602081298828125,arpso_real_data_updated_latex_pack,cec2017_wilcoxon_summary_ARPSO_SRR_from_raw.csv
